Id,Label,timeset,movie_id,Eccentricity,closnesscentrality,betweenesscentrality,Degree,componentnumber,modularity_class,pageranks,Main
4770051,VADER,,777,4,1.833333,225.321429,12,0,3,0.065054,1
4769112,LUKE,,777,4,1.833333,223.47619,14,0,4,0.080074,1
4769357,THREEPIO,,777,3,1.75,145.869048,15,0,0,0.077986,0
4769119,HAN,,777,3,1.777778,103.202381,14,0,0,0.070712,1
4769205,RIEEKAN,,777,4,2.388889,99,5,0,0,0.030606,0
4769261,LEIA,,777,3,1.805556,95.702381,13,0,0,0.065439,1
4770175,CONTROLLER,,777,5,3.25,69,3,0,2,0.031147,0
4772252,NEEDA,,777,5,2.666667,68,4,0,1,0.028974,0
4770200,VEERS,,777,5,2.694444,35,4,0,3,0.028001,0
4770610,WEDGE,,777,5,2.75,35,2,0,4,0.019353,0
4772901,BOBA FETT,,777,4,2.25,9.095238,7,0,3,0.035412,0
4769894,ANNOUNCER,,777,4,2.333333,7.75,5,0,4,0.027697,0
4770019,PIETT,,777,5,2.611111,7.5,5,0,3,0.030688,0
4769650,BEN,,777,4,2.472222,5.333333,4,0,4,0.0242,0
4773543,LANDO,,777,4,2.055556,2.916667,7,0,3,0.035096,0
4769610,DERLIN,,777,4,2.611111,2.833333,4,0,0,0.02428,0
4771904,CREATURE,,777,5,2.722222,1,4,0,4,0.025698,0
4770343,CAPTAIN,,777,6,4.222222,0,1,0,2,0.012887,0
4773040,COMMUNICATIONS OFFICER,,777,6,3.611111,0,2,0,1,0.017759,0
4770383,DACK,,777,5,2.777778,0,2,0,4,0.013624,0
4769440,DECK OFFICER,,777,4,2.638889,0,2,0,0,0.012767,0
4772308,EMPEROR,,777,5,2.805556,0,1,0,3,0.008662,0
4771329,IMPERIAL OFFICER,,777,4,2.277778,0,6,0,3,0.030215,0
4773448,INTERCOM VOICE,,777,4,2.583333,0,3,0,0,0.017046,0
4770669,JANSON,,777,6,3.722222,0,1,0,4,0.012279,0
4769596,LIEUTENANT,,777,4,2.666667,0,2,0,0,0.013633,0
4773721,MAN,,777,4,2.722222,0,1,0,0,0.008473,0
4770116,MEDICAL DROID,,777,5,2.805556,0,1,0,4,0.008916,0
4770022,OZZEL,,777,5,2.722222,0,3,0,3,0.019829,0
4771003,PILOT,,777,6,3.666667,0,1,0,3,0.010004,0
4770286,PILOTS,,777,4,2.722222,0,2,0,0,0.013492,0
4769923,SENIOR CONTROLLER,,777,4,2.472222,0,4,0,0,0.022247,0
4771890,STRANGE VOICE,,777,5,2.777778,0,2,0,4,0.014376,0
4773027,TRACKING OFFICER,,777,6,3.611111,0,2,0,1,0.017759,0
4770418,TRENCH OFFICER,,777,6,4.222222,0,1,0,2,0.012887,0
4772431,YODA,,777,5,2.75,0,3,0,4,0.019519,0
4769751,ZEV,,777,4,2.527778,0,2,0,0,0.013209,0
5012273,MACREADY,,815,2,1.05,19.858009,10,0,1,0.090909,1
5012304,BENNINGS,,815,2,1.1,11.524675,10,0,1,0.090909,0
5012281,CHILDS,,815,2,1.1,11.524675,10,0,1,0.090909,0
5012307,CLARK,,815,2,1.25,5.315152,10,0,0,0.090909,0
5012277,GARRY,,815,2,1.25,5.315152,10,0,0,0.090909,0
5012300,NORRIS,,815,2,1.2,4.024675,10,0,0,0.090909,0
5012292,PALMER,,815,2,1.2,4.024675,10,0,0,0.090909,0
5012285,BLAIR,,815,3,1.3,2.491342,10,0,0,0.090909,0
5012296,NAULS,,815,2,1.25,2.315152,10,0,0,0.090909,0
5012289,DR COPPER,,815,2,1.3,0.981818,10,0,0,0.090909,0
5012310,SANCHEZ,,815,2,1.3,0.981818,10,0,0,0.090909,0
781760,DECKARD,,134,3,1.583333,165,15,0,3,0.175273,1
782912,TYRELL,,134,2,1.75,89.333333,6,0,1,0.064641,0
782192,SEBASTIAN,,134,3,2.166667,55,7,0,0,0.070794,0
782129,BATTY,,134,3,2.041667,53.5,7,0,0,0.067755,0
781569,LEON,,134,3,1.833333,48.166667,7,0,2,0.073489,0
782791,RACHAEL,,134,3,2,7.5,5,0,1,0.054461,0
782309,PRIS,,134,4,2.75,3.5,5,0,0,0.049432,0
782091,ANNOUNCER,,134,3,2.416667,0,2,0,2,0.023151,0
784563,BARTENDER,,134,4,2.25,0,3,0,2,0.034696,0
781884,BRYANT,,134,4,2.5,0,2,0,1,0.025202,0
782172,CHEW,,134,4,3.125,0,1,0,0,0.014595,0
784428,COP,,134,4,2.5,0,2,0,3,0.027723,0
782448,ESPER,,134,4,2.541667,0,1,0,3,0.015942,0
781795,GAFF,,134,4,2.541667,0,1,0,3,0.015942,0
781579,HOLDEN,,134,4,2.291667,0,2,0,2,0.024867,0
785900,IAN,,134,3,2.708333,0,1,0,1,0.015155,0
785059,MARY,,134,4,2.791667,0,4,0,0,0.039643,0
782650,MOUSE,,134,4,3.083333,0,2,0,0,0.022996,0
785168,PIG,,134,4,2.791667,0,4,0,0,0.039643,0
783057,RACHEL,,134,3,2.125,0,3,0,1,0.034357,0
784577,RUSSIAN,,134,4,2.25,0,3,0,2,0.034696,0
784139,SALOME,,134,4,2.541667,0,1,0,3,0.015942,0
784443,SERGEANT,,134,4,2.5,0,2,0,3,0.027723,0
783967,TAFFEY,,134,4,2.541667,0,1,0,3,0.015942,0
783365,WHEELER,,134,4,2.541667,0,1,0,3,0.015942,0
2851404,NEDRY,,460,2,1.347826,46.223413,15,0,0,0.069092,0
2851505,GENNARO,,460,2,1.26087,37.054365,17,0,2,0.073787,0
2851224,GRANT,,460,2,1.130435,33.766667,20,0,1,0.082721,1
2851261,ELLIE,,460,2,1.26087,20.782143,17,0,1,0.074203,1
2852134,LEX,,460,2,1.26087,12.633333,17,0,2,0.071812,0
2851739,MALCOLM,,460,2,1.304348,10.171032,16,0,2,0.072373,0
2851930,HAMMOND,,460,2,1.391304,6.064286,14,0,3,0.05894,0
2852179,TIMMY,,460,2,1.391304,5.994841,14,0,2,0.063686,0
2852826,PRE-RECORDED VOICE,,460,2,1.521739,3.569444,11,0,3,0.046791,0
2852552,WU,,460,3,1.652174,2.070635,10,0,3,0.042742,0
2852351,ARNOLD,,460,3,1.565217,1.207937,11,0,3,0.050584,0
2851771,MULDOON,,460,3,1.565217,1.207937,11,0,3,0.050584,0
2853225,HARDING,,460,3,1.73913,0.142857,8,0,2,0.038778,0
2854150,TIM,,460,3,1.782609,0.111111,7,0,2,0.034732,0
2851461,BAKER,,460,3,2.26087,0,2,0,0,0.011337,0
2853885,CAPTAIN FARRELL,,460,2,1.73913,0,6,0,2,0.030948,0
2851613,PILOT,,460,2,1.782609,0,5,0,0,0.027208,0
2853466,RECORDED VOICE,,460,3,1.695652,0,8,0,3,0.038552,0
2851497,ROSS,,460,3,2.217391,0,1,0,2,0.011323,0
2851250,STUDENT,,460,3,2.043478,0,2,0,1,0.01499,0
2853198,VET,,460,3,1.782609,0,7,0,2,0.034816,0
4711466,KIRK,,767,3,1.642857,503.021426,30,0,3,0.070787,1
4710555,SHUTTLE PILOT,,767,4,2.160714,384.092688,8,0,4,0.021358,0
4711306,SPOCK,,767,4,1.928571,339.680778,21,0,2,0.053781,1
4710201,GEORGE KIRK,,767,5,2.803571,192.991445,9,0,4,0.030549,0
4711855,MCCOY,,767,4,1.928571,181.718496,20,0,2,0.047385,0
4711892,NERO,,767,4,2.214286,177.062572,11,0,1,0.029507,0
4714820,SPOCK PRIME,,767,4,2.267857,124.310613,8,0,3,0.022955,0
4710821,COMPUTER VOICE,,767,4,2.357143,121.554762,6,0,6,0.018332,0
4711603,PIKE,,767,3,1.946429,120.13427,18,0,0,0.041264,0
4711450,UHURA,,767,3,1.928571,111.535437,18,0,2,0.041176,0
4710080,WINONA,,767,5,2.803571,89.434577,7,0,4,0.023338,0
4709816,SAREK,,767,4,2.321429,57.360644,7,0,6,0.019333,0
4709770,AMANDA,,767,5,2.839286,55,3,0,6,0.012378,0
4712176,TEST ADMINISTRATOR #2,,767,5,2.875,55,2,0,5,0.011046,0
4717246,KELVIN CREW MEMBER,,767,4,2.839286,54.010613,4,0,4,0.015137,0
4710145,AYEL,,767,4,2.857143,37.646699,2,0,4,0.008241,0
4709952,OFFICER PITTS,,767,6,3.446429,31.718407,7,0,4,0.025373,0
4709929,CAPTAIN ROBAU,,767,5,3.285714,31.522091,4,0,4,0.015651,0
4715359,SCOTTY,,767,4,2.232143,22.487179,11,0,3,0.026715,0
4712790,SULU,,767,4,2.196429,20.671703,14,0,2,0.031655,0
4709935,FIRST OFFICER,,767,5,3.285714,20.569653,4,0,4,0.015101,0
4710452,NURSE,,767,5,2.928571,14.25,4,0,4,0.013715,0
4712964,CHEKOV,,767,4,2.232143,7.859799,12,0,2,0.02688,0
4716581,ROMULAN COMMANDER,,767,5,2.785714,6.886905,3,0,1,0.010281,0
4710829,YOUNG SPOCK,,767,5,3.196429,5.25,4,0,6,0.014089,0
4713514,KIRK SPOCK,,767,4,2.267857,2.818529,10,0,2,0.022682,0
4713214,SPOCK KIRK,,767,4,2.339286,0.577381,10,0,2,0.022431,0
4713434,ROMULAN TACTICAL OFFICER,,767,5,3.160714,0.5,3,0,1,0.011268,0
4710447,GEORGE KIRK WINONA,,767,6,3.678571,0.333333,4,0,4,0.014519,0
4712313,ACADEMY PRESIDENT,,767,4,2.446429,0,4,0,0,0.010773,0
4714559,BLACK,,767,4,2.375,0,8,0,2,0.018425,0
4717491,BONES,,767,4,2.571429,0,4,0,0,0.011444,0
4711544,BURLY CADET,,767,4,2.589286,0,3,0,0,0.008527,0
4712989,CHEKOV ON SCREEN,,767,4,2.535714,0,5,0,2,0.01242,0
4710062,CHIEF ENGINEER,,767,4,3.053571,0,2,0,4,0.00829,0
4717439,COMMANDANT,,767,4,2.571429,0,4,0,0,0.011444,0
4713285,COMMUNICATIONS OFFICER,,767,4,2.392857,0,7,0,2,0.016543,0
4710635,DOCTOR,,767,6,3.696429,0,3,0,4,0.011445,0
4711973,GAILA,,767,4,2.607143,0,2,0,3,0.006579,0
4710270,HELMSMAN,,767,6,3.660714,0,3,0,4,0.012012,0
4715293,KEENSER,,767,4,2.5,0,4,0,3,0.011604,0
4712673,KIRK MCCOY,,767,4,2.589286,0,2,0,3,0.006649,0
4715004,KIRK SPOCK PRIME,,767,4,2.392857,0,4,0,3,0.011316,0
4717415,KIRK/SHATNER,,767,4,2.571429,0,4,0,0,0.011444,0
4711802,MAN,,767,4,2.357143,0,5,0,4,0.012809,0
4709759,MIDWIFE,,767,6,3.821429,0,1,0,6,0.006137,0
4713759,OLSON,,767,4,2.607143,0,2,0,3,0.006557,0
4713897,ROMULAN HELMSMAN,,767,5,3.178571,0,2,0,1,0.008104,0
4712690,SCANNING OFFICER,,767,5,2.910714,0,1,0,2,0.004644,0
4711361,SCIENCE MINISTER,,767,5,2.910714,0,1,0,2,0.004808,0
4710212,SCIENCE OFFICER,,767,6,3.678571,0,2,0,4,0.008604,0
4715311,STARFLEET OFFICER,,767,4,2.5,0,4,0,3,0.011604,0
4710407,TACTICAL OFFICER,,767,6,3.660714,0,3,0,4,0.012012,0
4712173,TEST ADMINISTRATOR #1,,767,6,3.857143,0,1,0,5,0.007327,0
4710833,VULCAN BULLY #1,,767,5,3.285714,0,3,0,6,0.011481,0
4710841,VULCAN BULLY #2,,767,5,3.285714,0,3,0,6,0.011481,0
4712194,WEAPONS OFFICER,,767,4,2.571429,0,3,0,2,0.008592,0
